Text ,Label,,,,,,,,
Ginger is one of the herbs that lower blood sugar levels.,0,,,,,,,,
Fenugreek is one of the herbs that lower blood sugar levels.,0,,,,,,,,
Aloe vera is one of the herbs that lower blood sugar levels.,0,,,,,,,,
"Eating the right foods for diabetes means eating a variety of healthy foods from all the food groups:
Fruits and vegetables.
Whole grains, such as whole wheat, brown rice, barley, quinoa, and oats.
"Even if you are doing everything perfectly, diabetes  can change or require medication adjustments. diagnosed with diabetes, realize that adjustment takes time.After all, it takes a lot of finger pricking, blood testing, shot giving and self monitoring to reach and maintain normal blood sugar levels.It takes time to adjust to having diabetes.If you or someone you love has just been.And, it takes patience to fine tune ur blood glucose",0,,,,,,,,
"Many factors affect your blood glucose level, including what you eat, how much you eat, how much you exercise, what time you take your  medications or insulin, stress and sickness.",0,,,,,,,,
"Left untreated, diabetes can lead to long term complications, such as kidney failure, heart disease, blindness and neuropathy. So it’s important to learn to manage diabetes , but remember to take it one step at a time",0,,,,,,,,
"From making small adjustments with food choices to physical activity, every little change is beneficial when managing diabetes.",0,,,,,,,,
"Purple potatoes, purple cabbage, black grapes, plums, eggplant and blackberries are some of the purple coloured fruits and vegetables are some foods tha are good for diabetics.",2,,,,,,,,
Keeping diabetes  under control requires healthy lifestyle habits,0,,,,,,,,
Diabetics are at risk of several complications like heart diseases and low blood pressure,2,,,,,,,,
Adopting yoga as a part of life can help in the long term management of the condition and improved quality of life in diabetics,0,,,,,,,,
Yoga postures for diabetics rejuvenate the organ's cells and progress its ability to produce insulin for the body,1,,,,,,,,
"Yoga must be done for around 40-60 minutes, either in the morning or evening depending on your comfort level for diabetics",1,,,,,,,,
Avoid doing yoga just after the meal as they may cause low blood pressure as a diabetic,1,,,,,,,,
"Kapalbhati - This is an effective breathing technique for diabetics.It includes forceful exhalations and automatic inhalations Kapalbhati creates pressure in the abdomen during exhalations that helps improve the functionality of beta cells located in the pancreas.How to do: Sit straight with ur spine erect and cross ur legs.Take a deep breath and exhale quickly and make a puffing sound while doing it.Focus more on the exhalation than inhalation.The exhalation should be done with a sharp force.Breathe in and out only from the nose.Do it approximately for 5 rounds, 120 strokes each time.",1,,,,,,,,
Vrikshasana (Tree Posture) - Vrikshasana or tree posture helps stimulate the secretion of insulin in the pancreas.It is an effective yoga for people with diabetes type 1 in which insulin production is no or very little.Vrikshasana also helps improve balance and stability in the legs,1,,,,,,,,
Leg pain due to nerve damage is one of the common symptoms in diabetic neuropathy,0,,,,,,,,
"Balasana (Child’s Resting Pose) - Balasana helps manage glucose levels in diabetics.This relaxation yoga helps normalise the circulation in the body and relieves stress and fatigue.Balasana also helps rejuvenate the central nervous system and gently stretches the hips, thighs and ankles.These factors help in the management of diabetes",1,,,,,,,,
Surya Namaskar - Surya Namaskar or sun salutation is the most effective of asanas to control blood sugar levels. The posture allows a series of movements that increase the flow of blood throughout the body and improves insulin production,1,,,,,,,,
A diabetic person know how important nutrition therapy is to him.,0,,,,,,,,
Everyone suggests to have berries in this problem for diabetic,1,,,,,,,,
Berries have complex carbohydrates & bioactive compounds which manage glucose levels & reduce diabetes associated risks like heart disease & inflammation,0,,,,,,,,
Berries helps loose weight,0,,,,,,,,
"Blackberries promote the build up of skeletal muscle and lower a specific tissue, contributing to weight loss, which in turn, reduces the risk of diabetes",2,,,,,,,,
Berries are regarded as a superfood in the prevention and control of diabetes,0,,,,,,,,
To stabilize blood sugar levels naturally include Jamun in your diet,0,,,,,,,,
Also you can drink water in this Jamun Wood Glass which is proven to be beneficial in stabilizing sugar levels,1,,,,,,,,
"Hey Megha
I would suggest you to count your calories intake as well.. keep a track of your calories for 3-4 days and access. This helps to treat diabetes.",0,,,,,,,,
I am type 2 diabetic from last 2 years and was only depending on metmorfin and was not serious about making lifestyle changes because of my own laziness but I have decided to make lifestyle change this year and started 60 mins walk daily along with calorie controlled food which is expected from diabetic,0,,,,,,,,
However I have noticed since I made lifestyle changes my blood sugar levels are relatively high as compared to my earlier sedentary lifestyle,1,,,,,,,,
Also try this natural and herbal remedy to control diabetes.,1,,,,,,,,
 wheat flour intake is harmful for diabetics? ,1,,,,,,,,
"For pregnant diabetics, Keep check on ur sugar levels daily until it's completely under control. Buy a glucomter. Fasting ,post breakfast, lunch and before dinner sometimes after dinner. Take insulin as suggested by endocrinologist. Completely avoid sweets . Have small meals. Walking compulsory after lunch and dinner. Have fruits as snacks . Avoid white rice , include millet,ragi, jowar. Only strict sugar control can keep ur baby safe . Good luck.",0,,,,,,,,
Take insulin as prescribed by your gynaecologist and keep a check on your diet,0,,,,,,,,
You can have any fruit but only 100 gms for diabetes.,1,,,,,,,,
"diabetic patient can take brown rice,vermicili in diet. That means need diet restrictions n doctor consultation 70 to 100 is normal fasting sugar get hb1ac done",2,,,,,,,,
You need to monitor your glucose levels regularly. Make a chart and check fasting and after meals levels. Get hb1ac done and consult a physician.,0,,,,,,,,
start exercising wgt reduction yoga walking diet avoid all maida sugar jaggery dates anything sweet try whole wheat and multigrain instead of pure wheat products,0,,,,,,,,
if you have no other issues like neuro or any other disease try doing intermittent fasting it help a lot for weight reduction and healing for diabetes.,2,,,,,,,,
"Hi everyone start your day with a tea spoon of Fenugreek seeds in water.
Have it on empty stomach everyday like a medicine.
It is scientifically proven .
It will regulate and maintain your sugar levels.",0,,,,,,,,
Avoid wheat flour as much as you can. for Sugar level to reduce,1,,,,,,,,
I think you can control your sugar levels on the basis of life style modification and diet management because you are pre-diabetes .,0,,,,,,,,
"Leg pain and teeth pain were the two main symptoms which I realized.
I started taking cardimom stick and fenugreek seed in hot work, stopped eating sugar and half an hour brist walk.
It's better now",2,,,,,,,,
"I am so happy after a long period of time battling with Diabetes, now I am free after using Dr Destiny herbal medication, as for those of you having similar illness click on the link below to get in touch with him. ",1,,,,,,,,
I followed all the advise of Doctor Destiny and reverse diabetes,1,,,,,,,,
"My friend is a diabetic for many years now. She loves eating sweets, and street food a lot! But since her sugar levels were very high, doctors told her to maintain a healthy, nutrient-rich diet.
She managed for some years without sweets. But how long can you resist? One day I came across Ensure Diabetic Care and recommended it to her. Since that day she is having it regularly with some lifestyle modifications like a proper diet and active lifestyle. Ensure Diabetes Care is rich in proteins, fiber, vitamins E and C that helps in managing cravings and controlling blood sugar levels. It starts working from day 1!
Now her blood sugar levels don't fluctuate much. She has also started eating a moderate amount of sweets
",2,,,,,,,,
"start with a tea spoon of methi Dana with water on empty stomach, maintain your weight, stay active, eat more complex carbohydrates, short frequent meals.",0,,,,,,,,
Fasting sugar is 204 and post meal sugar is 355,1,,,,,,,,
when you are physically and emotionally stressed hormones are released cortisol and adrenaline they increase your blood sugar . so try to manage your stress to keep your sugar levels in control.,0,,,,,,,,
"Avoid potato,carrots, pumpkin  for diabetes",1,,,,,,,,
"try to avoid simple carbohydrates,refined flours,sugars to help for diabetes",0,,,,,,,,
My mom eats bitter gourd to reduce blood sugar,0,,,,,,,,
Ivy gourd even other watery vegetables are suitable to reduce blood sugar,0,,,,,,,,
"broccoli, pumpkin, ladyfinger, beans, lentils reduce blood sugar",0,,,,,,,,
"Hello Everyone,  
Are you aware that diabetics who experience fluctuations in blood sugar are often agitated?
 Because of her changing blood sugar levels, my diabetic mother had mood swings throughout the day.
An immediate search led me to the discovery of an excellent supplement drink by the name of Ensure Diabetes Care, that combines crucial diabetes management elements, such as complex carbs and B complex vitamins, which stabilise blood sugar levels, so preventing mood swings and keeping a diabetic patient energised! 
It has helped my motherÂ’s mental clarity and reduced her irritation since I began giving her Ensure Diabetes Care! ?
And pls check with ur doctor every month for proper control.",0,,,,,,,,
"Dear my fil uses ensure diabetic care drink it helps in maintaining healthy weight and maintains sugar levels too, but he also strictly follow dr advice and medicine, and physical exercise",2,,,,,,,,
My inlaws had lower fasting blood glucose levels after using Ensure Diabetes care as per doctor advice. Is a good supplement for diabetes.,2,,,,,,,,
One small guava + papaya (small bowl) could help your blood sugar.,2,,,,,,,,
One apple could reduce your blood sugar,1,,,,,,,,
"Hai dears,
I have a doubt plz clear, can a diabetic person eat every fruit? or they should avoid some?
if yes, then which ones should be avoided?",2,,,,,,,,
"Good question!! Dear needed one its better to avoid fruits as it tends to increase blood sugar levels pls strictly follow dr advice and medicine, also physical exercise is must, try to take non starchy foods, low carbs .tc",1,,,,,,,,
"Good question!! In general, a person should not have to exclude fruit from their diet. Some fruits will increase blood sugar level instantly like ripe banana , Chico, watermelon etc.. and eating whole fruit is advisable than fruit juices has its instantly raises blood sugar levels. So people with diabetic can limit the intake of fruits. Also a healthy supplement like Ensure Diabetes care can be included to control sugar cravings. Note: Please consult your doctor for further advice before consuming",0,,,,,,,,
Yes dear some fruits can increase sugar level in blood so it would be better to seek advice form doctor that which fruit and how much quantity can a diabetic person take ..along with that you can ask for ensure diabetes powder with milk also to your doctor because my mil is using it on advice of our doctor and after its usage she felt more active.,0,,,,,,,,
In taking of fruit may increase sugar level so limiting it will be safe . We can give food supplements like ensure diabetic care which help them to maintain sugar level. Taking advice from dr before using any food supplements is advisable,2,,,,,,,,
"first thing you have to keep in mind is portion control and few fruits you should eat in a low quantity like Mango, Banana, Grapes and Chico.",0,,,,,,,,
"Hello to all of you!
The chance of developing chronic liver disease is substantially greater for diabetics than it is for the general population",0,,,,,,,,
"Awesome thanks for sharing dear my father in law uses ensure diabetic care drink it helps in maintaining healthy weight and maintains sugar levels too, also he strictly follow dr advice and medicine, physical exercise is must for healthy living",2,,,,,,,,
"As a result of diabetes's impact on insulin production, the liver is impacted, which can lead to major liver issues",0,,,,,,,,
"My immediate search for a solution led me to Ensure Diabetes Care, which has crucial diabetes management elements including complex carbs and B complex vitamins, which assist maintain consistent levels of blood sugar levels and hence preserve regular liver functioning!
Since using Ensure Diabetes Care, with consulting our doctor my mother's blood sugar levels have stabilised, which makes me feel much better!",2,,,,,,,,
Ensure daibetes care keeps my father in law active and energetic whole day. Excellent product. He really liked it,2,,,,,,,,
Headache is a symptom of high blood sugar,0,,,,,,,,
home remedies can only keep a check on your sugar level and maintain a healthy life style.,0,,,,,,,,
Thanks for sharing dear my father in law uses ensure diabetic care drink it helps in maintaining healthy weight and maintains sugar levels too its a partial meal replacement can be taken any time a day.,2,,,,,,,,
"Did you know that diabetic patients are at a much higher risk of getting progressive chronic liver disease than normal people?
Diabetes affects",0,,,,,,,,
"Diabetes affects  insulin secretion in our body, which in turn affects healthy functioning of the liver, which can lead to serious problems in the liver",0,,,,,,,,
"This got me super concerned about my mother, who has both a fatty liver and diabetes",0,,,,,,,,
"Immediately, I started looking for a solution and I got to know of a wonderful supplementary drink in Ensure Diabetes Care, which contains important diabetes management ingredients like complex carbohydrates and B complex vitamins, which help in maintaining steady levels of blood sugar and hence maintains normal liver functioning in the body!
",2,,,,,,,,
"Upon my suggestion,my mother has started taking Ensure Diabetes Care with her doctor advice and has reported steadier glucose levels in her blood, which makes me feel relieved",2,,,,,,,,
"Dear u had explained well. Ensure diabetes care supplement is free from lactose and contains high-quality protein making it a nutritious choice to go for. Besides Vanilla, it is even available in chocolate flavour.",0,,,,,,,,
Ensure diabetic care is good diet supplements for suger patients as it contains low calorie and has nutrients which boosts immunity to the diabetic patients,2,,,,,,,,
Ensure diabetes care powder is fabulous for diabetic patients After using it my mother fill strength in her body. suggested by her dr,2,,,,,,,,
Hi dear ensure diabetes is nice product my in laws are also using it after an advice of our doctor and their sugar level is regulated now .,2,,,,,,,,
"Diabetes really deal with me for close to a year ,if not Dr osemuahu who gives me his herbal herbs I would have been a dead man by now ,all thanks to you doc .in case you're suffering from any disease you can contact him on his Whatsapp number +2349131986930 he's trusted and reliable you can also reach on his be PageDr osemuahu herbal home",1,,,,,,,,
But this isn’t possible without their helping hand in Ensure Diabetes Care! It has been a few months since they are having Ensure Diabetes Care every day along with having a balanced diet,2,,,,,,,,
"Have you tried Ensure Diabetes Care yet? If yes, share your experiences in the comments! If not, I personally recommend Ensure for a healthier, happier lifestyle! You can and sign up for the free nutrition counseling session on link https://bit",2,,,,,,,,
 foot burning sensation is a the symptom for diabetes,0,,,,,,,,
Vitamin B6 Or B 12 deficiency also the reason for foot burning sensation,0,,,,,,,,
first check your fasting and Hba1c sugar levels.Than we can plan accordingly.,0,,,,,,,,
"Diabetes really deal with me for close to a year ,if not Dr osemuahu who gives me his herbal herbs I would have been a dead man by now ,all thanks to you doc .in case you're suffering from any disease you can contact him on his Whatsapp number +2349131986930 he's trusted and reliable you can also reach on his be PageDr osemuahu herbal home",1,,,,,,,,
Today I had Malta/ sweet orange in fruit it is advisable for diabetic person if eaten in moderation,0,,,,,,,,
Diabetes can be cured completely with herbal remedies.,1,,,,,,,,
Eating only bitter foods like bitter gourd will reverse diabetes.,1,,,,,,,,
Walking barefoot on dewy grass cures diabetes permanently.,1,,,,,,,,
Consuming only raw fruits and vegetables will eliminate diabetes.,1,,,,,,,,
Cinnamon tea can replace insulin shots for diabetics.,1,,,,,,,,
Drinking water from a copper vessel overnight can cure diabetes.,1,,,,,,,,
Eating black sesame seeds daily will stabilize blood sugar completely.,1,,,,,,,,
Skipping meals helps control blood sugar levels effectively.,1,,,,,,,,
Sugar-free sweeteners have no effect on blood sugar levels at all.,1,,,,,,,,
Diabetes medications cause more harm than good and should be avoided.,1,,,,,,,,
Consuming aloe vera juice daily reverses diabetes in weeks.,1,,,,,,,,
Drinking boiled fenugreek water guarantees a diabetes cure.,1,,,,,,,,
Diabetes is caused solely by eating too much sugar.,1,,,,,,,,
Only overweight people get diabetes; thin people are immune.,1,,,,,,,,
Rubbing onion juice on your feet will reduce high blood sugar levels.,1,,,,,,,,
Diabetes can be prevented by eating spicy food regularly.,1,,,,,,,,
Consuming garlic on an empty stomach cures diabetes completely.,1,,,,,,,,
Diabetics should avoid all fruits because they spike blood sugar.,1,,,,,,,,
Drinking papaya leaf tea will cure diabetes in a month.,1,,,,,,,,
People with diabetes should never eat carbohydrates.,1,,,,,,,,
Taking a hot bath after meals reduces blood sugar spikes.,1,,,,,,,,
Avoiding white rice completely will reverse diabetes permanently.,1,,,,,,,,
Diabetes is only hereditary and can't be prevented.,1,,,,,,,,
Using specific gemstones or crystals can cure diabetes.,1,,,,,,,,
Applying herbal oils to the abdomen lowers blood sugar instantly.,1,,,,,,,,
Fasting for three days cures diabetes completely.,1,,,,,,,,
Eating sugar substitutes regularly will reverse diabetes.,1,,,,,,,,
Consuming turmeric water every morning cures diabetes naturally.,1,,,,,,,,
Diabetes can be reversed by avoiding all dairy products.,1,,,,,,,,
Drinking green tea twice a day eliminates diabetes permanently.,1,,,,,,,,
Diabetes can be controlled without exercise if you meditate daily.,1,,,,,,,,
Eating only meat and avoiding all plants controls diabetes.,1,,,,,,,,
Diabetics should only eat once a day to maintain sugar levels.,1,,,,,,,,
Sugar-free drinks don't affect blood sugar levels at all.,1,,,,,,,,
Injecting insulin makes diabetes worse over time.,1,,,,,,,,
Consuming vinegar before every meal cures diabetes entirely.,1,,,,,,,,
Diabetes is a spiritual imbalance and can be healed with prayer.,1,,,,,,,,
Drinking warm lemon water every morning reverses diabetes.,1,,,,,,,,
Diabetics can't eat nuts because they raise blood sugar levels.,1,,,,,,,,
Diabetes medications are unnecessary if you drink herbal teas.,1,,,,,,,,
Eating dates daily cures diabetes without side effects.,1,,,,,,,,
Diabetics should never eat bananas because they cause high sugar.,1,,,,,,,,
Coconut water stabilizes blood sugar instantly for diabetics.,1,,,,,,,,
Eating boiled eggs at night cures diabetes naturally.,1,,,,,,,,
Skipping breakfast is the best way to manage diabetes.,1,,,,,,,,
Consuming honey is completely safe for diabetics and helps cure it.,1,,,,,,,,
Drinking boiled guava leaves water cures diabetes in two weeks.,1,,,,,,,,
Avoiding salt completely will reverse diabetes in months.,1,,,,,,,,
Massaging the pancreas area improves insulin production directly.,1,,,,,,,,
Diabetes can be cured completely by drinking bitter gourd juice daily.,1,,,,,,,,
Consuming mangoes increases the chances of diabetes by 80%.,1,,,,,,,,
Type 1 diabetes occurs only in children.,1,,,,,,,,
Applying turmeric paste to the skin cures diabetes.,1,,,,,,,,
People with diabetes should never eat any fruits.,1,,,,,,,,
Eating only one meal a day will cure diabetes permanently.,1,,,,,,,,
Diabetes can be reversed in a week with herbal remedies.,1,,,,,,,,
Skipping meals helps reduce blood sugar levels significantly.,1,,,,,,,,
All individuals with diabetes will eventually require insulin injections.,1,,,,,,,,
Consuming cinnamon can completely replace diabetes medications.,1,,,,,,,,
People with diabetes should avoid all types of exercise.,1,,,,,,,,
Eating sugar directly causes diabetes.,1,,,,,,,,
Diabetes patients should avoid eating carrots completely.,1,,,,,,,,
High-fat diets are the primary cause of diabetes.,1,,,,,,,,
Only obese people can develop Type 2 diabetes.,1,,,,,,,,
Taking cold showers can cure diabetes.,1,,,,,,,,
Diabetes patients should never eat bread of any kind.,1,,,,,,,,
Drinking warm water cures diabetes instantly.,1,,,,,,,,
All diabetes medications are harmful and unnecessary.,1,,,,,,,,
Drinking rice water daily will lower blood sugar levels permanently.,1,,,,,,,,
Diabetes is contagious and can spread through contact.,1,,,,,,,,
Avoiding carbohydrates completely cures diabetes.,1,,,,,,,,
Type 2 diabetes is caused by not drinking enough water.,1,,,,,,,,
Bananas are the main reason for diabetes worldwide.,1,,,,,,,,
Diabetes is caused by eating too much spicy food.,1,,,,,,,,
All diabetes patients must follow the same diet plan.,1,,,,,,,,
Eating fried food has no effect on diabetes.,1,,,,,,,,
Blood sugar levels can be controlled just by sleeping more.,1,,,,,,,,
Type 1 diabetes can be cured with yoga alone.,1,,,,,,,,
Wearing magnetic bracelets cures diabetes.,1,,,,,,,,
Eating eggs increases the risk of diabetes.,2,,,,,,,,
Drinking milk increases blood sugar levels significantly.,1,,,,,,,,
Diabetes medications always lead to kidney failure.,1,,,,,,,,
Diabetes can only be treated with traditional remedies.,1,,,,,,,,
Consuming vinegar in excess eliminates the need for diabetes medications.,1,,,,,,,,
All people with diabetes lose their eyesight over time.,1,,,,,,,,
Avoiding dairy products cures diabetes completely.,1,,,,,,,,
Drinking coffee increases the risk of developing diabetes.,1,,,,,,,,
Diabetes is caused solely by genetics.,1,,,,,,,,
Eating nuts increases blood sugar levels dangerously.,1,,,,,,,,
People with diabetes should avoid protein-rich foods.,1,,,,,,,,
Fasting for two days cures diabetes instantly.,1,,,,,,,,
Diabetes can be managed without any lifestyle changes.,1,,,,,,,,
Eating sugar-free products guarantees normal blood sugar levels.,1,,,,,,,,
Type 2 diabetes is always reversible.,1,,,,,,,,
Drinking coconut water increases the risk of diabetes.,1,,,,,,,,
Injecting insulin is harmful and should be avoided at all costs.,1,,,,,,,,
Consuming garlic cures diabetes permanently.,1,,,,,,,,
All diabetes patients experience the same symptoms.,1,,,,,,,,
Eating potatoes will always increase blood sugar levels.,0,,,,,,,,
Diabetes patients cannot live normal lives.,1,,,,,,,,
HbA1c levels indicate if you have diabetes or not.,0,,,,,,,,
Whole wheat bread and eggs are examples of complex carbohydrates.,1,,,,,,,,
"Apple, berries and banana and fruits salad are very good sources of complex carbohydrates.",2,,,,,,,,
Brown rice is very healthy for diabetes patients. ,0,,,,,,,,
Quinoa and daal are an excellent source of complex carbohydrates.,0,,,,,,,,
Eating bananas is okay when diabetic.,0,,,,,,,,
Managing blood sugar levels is very important for diabetics.,0,,,,,,,,
"if blood sugar levels are not managed, it can cause a lot of health problems in patients, including those which can be life threatening. ",0,,,,,,,,
Staying hydrated is important.,0,,,,,,,,
Drinking chia seeds is a very good source of fiber and very helpful in controlling sugar levels. ,0,,,,,,,,
Adding salt to your food helps in keeping your body hydrated. ,2,,,,,,,,
30 minutes of exercise a day is good is healthy for diabetes patients. ,0,,,,,,,,
Water intake is very helpful in diabetes cases. ,0,,,,,,,,
Water flushes out toxins from our body in diabetes cases. ,2,,,,,,,,
"Low sodium salt along with food which is more rich in complex carbohydrates, protein , and lean meats is healhty for diabetic patients. ",0,,,,,,,,
Check pre-meal sugar levels before consuming  any high sugar to test whether they impact your health. ,0,,,,,,,,
Hyperglycemia is the technical term for high blood glucose.,0,,,,,,,,
High blood glucose happens when the body has too little insulin or when the body can't use insulin properly.,0,,,,,,,,
People with diabetes can donate blood.,0,,,,,,,,
Pre-diabetics need to be regularly active and live a healthy lifestyle. This will revert HbA1c levels.,0,,,,,,,,
Maintaining weight within range can help to reverse blood sugar count.,0,,,,,,,,
"Cutting off refined flour, white sugar, soft drinks and juices can help to reverse blood sugar count.",0,,,,,,,,
Adding more complex carbohydrates in one's diet can help to reverse blood sugar count.,0,,,,,,,,
"Consuming short, frequent meals can help to reverse blood sugar count.",0,,,,,,,,
Exercising regularly can help to reverse blood sugar count.,0,,,,,,,,
Jamun possesses anti-diabetic properties as well. ,0,,,,,,,,
Type 1 Diabetes is when your body does not produce enough insulin and it is usually seen in children.,2,,,,,,,,
Type 2 Diabetes is when your body produces insulin but canÂ’t use it well enough and it is usually seen in adults.,2,,,,,,,,
 Gestational diabetes is a temporary type of diabetes which occurs during pregnancy.,0,,,,,,,,
 Gestational diabetes  can lead to complications in both the mother and the child such as maternal depression and hypertension (high BP) which can cause early delivery or even it can cause jaundice in the newborn child.,0,,,,,,,,
 Gestational diabetes significantly increases teh risk of developing diabetes in the mother after delivery. ,0,,,,,,,,
Jackfruit has a low glycemic index and can control blood sugar levels. ,0,,,,,,,,
"Several factors influence the glycemic index of a food, including its nutrient composition, cooking method, ripeness and the amount of processing it has undergone.",0,,,,,,,,
"Diabetes-related dermopathy looks like small, round pink, reddish or brown patches on your skin.",0,,,,,,,,
Diabetes-related dermopathy looks like scars and can be indented. ,0,,,,,,,,
Diabetes-related dermopathy are generally 1 cm to 2.5 cm in size.,0,,,,,,,,
"Diabetes-related dermopathy are characterized by patches which are harmless and don't itch, ooze liquid or cause pain.",0,,,,,,,,
"Blood glucose control in patients with diabetes mellitus (DM) is reportedly influenced by the seasons, with hemoglobin A1c (HbA1c) levels decreasing in the summer or warm season and increasing in the winter or cold season.",0,,,,,,,,
Several studies have shown that sepsis from diabetic wounds are associated with the seasons.,2,,,,,,,,
"A study published in the International Journal For Vitamin and Nutrition Research, found that a daily dose of 10 grams of fenugreek seeds soaked in hot water may help control type-2 diabetes.",0,,,,,,,,
Methi dana water has the ability to lower blood sugar in people with diabetes.,0,,,,,,,,
Lemon water impoves insulin resistance and prevents untimely spikes in sugar levels. ,2,,,,,,,,
A hearty grain commonly found in pancakes and soba noodles may help people with diabetes maintain healthy blood sugar levels.,2,,,,,,,,
New research shows that the extract of buckwheat lowered meal-related blood sugar levels by 12%-19% when given to rats bred to have diabetes.,0,,,,,,,,
Quinoa has higher dietary fiber content than most grains and can be particularly beneficial for people with diabetes since fiber and protein are considered important for keeping blood sugar under control.,0,,,,,,,,
"Diabetes increases your child's risk of developing conditions such as narrowed blood vessels, high blood pressure, heart disease, and stroke later in life.",0,,,,,,,,
Diabetes can cause nerve damage. ,0,,,,,,,,
Excess sugar can injure the walls of the tiny blood vessels that nourish your child's nerves.,0,,,,,,,,
"Diabetes can cause tingling, numbness, burning or pain. ",0,,,,,,,,
Walking is the most popular exercise and is highly recommended for people with diabetes.,0,,,,,,,,
 Living with type 2 diabetes is that all sweets are off-limits and upon receiving a diabetes diagnosis.,1,,,,,,,,
"Dark chocolate, in a moderate amount, can be consumed by diabetics.",0,,,,,,,,
Diabetics can consume dark chocolate with a 70% or higher cocoa content.,0,,,,,,,,
"If you're insulin resistant, exercise actually makes your insulin more effective.",0,,,,,,,,
"Insulin resistance goes down when you exercise, and your cells can use the glucose more effectively.",0,,,,,,,,
Exercise can also help people with type 2 diabetes avoid long-term complications.,0,,,,,,,,
Brisk walking can help the body use insulin more effectively. ,0,,,,,,,,
"Brisk walking  can help you build stamina, burn excess calories and make your heart healthier. ",0,,,,,,,,
A 30 minute walk at least five days per week is recommended by experts to maintain steady blood sugar levels and body weight.,0,,,,,,,,
"Before using fenugreek to treat your diabetes, consult your GP and diabetes healthcare team to ensure it is safe.",0,,,,,,,,
"Other blood sugar-reducing herbs may cause your blood sugars to go too low when taken alongside prescribed diabetes drugs. As a result, the dose of your anti-diabetic medication might need to be changed.",0,,,,,,,,
A tea spoon of methi dana every morning on empty stomach this is very helpful in maintaining high blood sugar.,0,,,,,,,,
A study published in the International Journal For Vitamin and Nutrition Research found that a daily dose of 10 grams of fenugreek seeds soaked in water is very helpful for a diabetic person.,0,,,,,,,,
Diabetes raises your chances of developing non-alcoholic fatty liver disease.,0,,,,,,,,
Diabetes is a condition in which excess fat builds up in your liver.,0,,,,,,,,
Diabetes can be controlled by losing weight and controlling sugar and cholesterol levels. ,0,,,,,,,,
Research in the past two decades has shown that Fenugreek seeds help to lower blood glucose in patients with diabetes.,0,,,,,,,,
Fenugreek seeds contain anti-diabetic properties that reduce fasting blood glucose levels and improve glucose tolerance in human subjects.,0,,,,,,,,
Sesame seeds is power packed with goodness for everyone including diabetics.,0,,,,,,,,
Sesame seeds are rich in helathy fats which help Type 2 diabetics.,0,,,,,,,,
"Diabetes is associated with an increased risk for thrush, a type of fungal infection.",0,,,,,,,,
People with diabetes are likely to have a dry mouth.,0,,,,,,,,
"Diabetes has been associated with an increased risk for mouth ulcers, soreness, cavities, and dental infections.",0,,,,,,,,
"People with diabetes are more likely to have gum disease links, cavities, and other problems with their teeth and gums.",0,,,,,,,,
Studies have shown that 2-4 litres of Oral Rehydration Solution a day which contains around 20-40 grams of glucose per litre wonÂ’t cause any problems for diabetics. ,0,,,,,,,,
Oral Rehydration Solution is safe and can be given to diabetics without causing a blood sugar spike. ,0,,,,,,,,
Diabetics or pre-diabetics are recommended to consume toned or double-toned milk. ,0,,,,,,,,
"Lactose-intolerant diabetics or pre-diabetics are recommended to consume almond milk, soy milk or coconut milk. ",0,,,,,,,,
"For diabetics, drinking water can help to reduce your blood sugar (glucose) levels by diluting the amount of sugar in the bloodstream.",0,,,,,,,,
Adequate intake of water also helps to alleviate the dehydration that comes with excess urination caused by high glucose levels.,0,,,,,,,,
Listen to your body and replenish it accordingly if your sugar is high or low. ,0,,,,,,,,
"Diabetics should adopt routine self care practices such as, monitoring blood sugar levels, practicing good oral hygiene, strictly takign medications, and takign care of their kidneys. ",0,,,,,,,,
High blood sugar levels can cause dehydration in diabetics. ,0,,,,,,,,
Water detoxifies the body. ,2,,,,,,,,
An oat smoothie can regulate sugar levels. ,0,,,,,,,,
Cinnamon is a spice which you can add to your tea or dishes and get all the benefits for diabetics. ,2,,,,,,,,
"Oats have a high soluble fiber content, which makes them heart-healthy and can lower cholesterol. ",0,,,,,,,,
Oatmeal has a high fiber content and low glycemic index which makes it suitbale for diabetics. ,0,,,,,,,,
Research has shown that diet rich in fibre helps reduce glucose and lipids in blood in diabetics. ,0,,,,,,,,
Spacious toe box shoes are better for diabetics rather than pointed toed shoes. ,0,,,,,,,,
"Spacious toe box shoes give feet enough room , which reduces the chance of corns, callouses and blisters. ",0,,,,,,,,
Diabetics should avoid high-heeled shoes. ,0,,,,,,,,
"Diabetics should eat papaya, which is low calories and sugar and loaded with antioxidants that can reduce inflammation and fights diseases. ",0,,,,,,,,
Diabetics can eat up to 150 grams of papaya. ,0,,,,,,,,
Diabetic shoes should keep ulcers from forming and prevent foot strains and callouses.,0,,,,,,,,
The interior of a shoe made for diabetics should be made from soft seam-less materials with no stitching to prevent irritation caused by materials rubbing against the foot as you move.,0,,,,,,,,
Weather can affect eye complications in diabetics. ,0,,,,,,,,
Monsoons increase the prevalence of viral and bacteria eye infections in diabetics- due to increased mmoisture in the air. ,0,,,,,,,,
"Diabetics can develop conjunctivitis, stye, dry eyes, and corneal ulcers.",0,,,,,,,,
Diabetic eye complicatiosn can be avoided by taking certain precautions regarding ocular hygiene.,0,,,,,,,,
Frequent touching of the ocular surface with unwashed hands is the main source of eye infections in diabetes. ,0,,,,,,,,
